gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,playNullifiedByPenalty,absoluteYardlineNumber,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,expectedPoints,offenseFormation,receiverAlignment,playClockAtSnap,passResult,passLength,targetX,targetY,playAction,dropbackType,dropbackDistance,passLocationType,timeToThrow,timeInTackleBox,timeToSack,passTippedAtLine,unblockedPressure,qbSpike,qbKneel,qbSneak,rushLocationType,penaltyYards,prePenaltyYardsGained,yardsGained,homeTeamWinProbabilityAdded,visitorTeamWinProbabilityAdded,expectedPointsAdded,isDropback,pff_runConceptPrimary,pff_runConceptSecondary,pff_runPassOption,pff_passCoverage,pff_manZone
2022102302,2655,(1:54) (Shotgun) J.Burrow pass short middle to T.Boyd to CIN 30 for 9 yards (J.Hawkins).,3,1,10,CIN,ATL,CIN,21,01:54,35,17,N,31,0.982017487753183,0.0179825122468174,0.719313454814255,EMPTY,3x2,10.0,C,6.0,36.69,16.51,False,TRADITIONAL,2.40000009536743,INSIDE_BOX,2.99,2.99000000953674,,False,False,False,0,,,,9,9,0.0046338425017893,-0.0046338425017893,0.702716691652313,True,,,0,Cover-3,Zone
2022091809,3698,(2:13) (Shotgun) J.Burrow pass short right to H.Hurst to CIN 12 for 4 yards (L.Vander Esch).,4,1,10,CIN,DAL,CIN,8,02:13,17,17,N,18,0.424356237053871,0.575643762946129,0.607745570130646,EMPTY,3x2,9.0,C,4.0,20.83,20.49,False,TRADITIONAL,1.13999998569489,INSIDE_BOX,1.836,1.83599996566772,,False,False,False,0,,,,4,4,0.0028469264507293,-0.0028469264507293,-0.24050861550495,True,,,0,Quarters,Zone
2022103004,3146,(2:00) (Shotgun) D.Mills pass short right to D.Pierce to HST 26 for 6 yards (D.Walker).,4,3,12,HOU,TEN,HOU,20,02:00,3,17,N,30,0.0062912374269217,0.993708762573078,-0.29148515756242,SHOTGUN,2x2,12.0,C,-4.0,26.02,17.56,False,TRADITIONAL,3.20000004768372,INSIDE_BOX,2.236,2.23600006103516,,False,False,False,0,,,,6,6,0.0002047172747552,-0.0002047172747552,-0.218480399809778,True,,,0,Quarters,Zone
2022110610,348,(9:28) (Shotgun) P.Mahomes pass short left to I.Pacheco to TEN 19 for 4 yards (Z.Cunningham).,1,2,10,KC,TEN,TEN,23,09:28,0,0,N,33,0.884223157539964,0.115776842460036,4.24938195967115,SHOTGUN,2x2,11.0,C,-6.0,38.95,14.19,False,TRADITIONAL,3.01999998092651,INSIDE_BOX,2.202,2.20199990272522,,False,False,False,0,,,,4,4,-0.0013082474470138,0.0013082474470138,-0.42774858372286,True,,,0,Quarters,Zone
2022091104,3662,(12:51) (Shotgun) J.Hurts pass incomplete short right to D.Smith (A.Bryant) [J.Cominsky].,4,3,12,PHI,DET,PHI,35,12:51,28,38,N,45,0.0786109250038862,0.921389074996114,-0.141129810595885,SHOTGUN,3x1,3.0,I,-6.0,44.69,10.53,False,TRADITIONAL,1.77999997138977,INSIDE_BOX,1.568,1.567999958992,,True,True,False,0,,,,0,0,0.0123612862080336,-0.0123612862080336,-1.16162058082409,True,,,0,Cover-0,Man
2022100204,1422,(5:22) (Shotgun) C.Rush pass short left to M.Gallup to 50 for 15 yards (K.Fuller).,2,3,8,DAL,WAS,DAL,35,05:22,6,7,N,45,0.539959710091352,0.460040289908648,0.448001843877137,SHOTGUN,3x1,12.0,C,15.0,59.63,40.74,False,TRADITIONAL,5.15999984741211,INSIDE_BOX,3.203,3.20300006866455,,False,False,False,0,,,,15,15,0.0584896355867386,-0.0584896355867386,2.1947601318825,True,,,0,Quarters,Zone
2022100912,445,(8:51) (Shotgun) C.Rush pass incomplete short right to D.Schultz.,1,3,5,DAL,LA,LA,15,08:51,0,6,N,95,0.411200519651175,0.588799480348825,3.96361408953089,SHOTGUN,2x2,16.0,I,5.0,100.04,3.51,False,TRADITIONAL,2.26999998092651,INSIDE_BOX,2.13,2.13000011444092,,False,False,False,0,,,,0,0,0.0340060908347368,-0.0340060908347368,-1.28844903939171,True,,,0,Cover-3 Seam,Zone
2022091112,1674,(:35) (Shotgun) A.Rodgers pass deep left intended for R.Cobb INTERCEPTED by H.Smith [Z.Smith] at MIN 30. H.Smith to MIN 30 for no gain (R.Cobb).,2,1,10,GB,MIN,GB,25,00:35,17,0,N,35,0.914142984896898,0.0858570151031017,0.602452582679689,EMPTY,4x1,3.0,IN,45.0,75.33,43.82,False,SCRAMBLE,2.63000011444092,OUTSIDE_LEFT,4.506,3.5,,False,False,False,0,,,,0,0,0.003262422978878,-0.003262422978878,-1.07162690255791,True,,,0,Cover-2,Zone
2022110603,2325,"(7:36) (No Huddle, Shotgun) A.Rodgers pass short left to A.Lazard to DET 41 for 12 yards (K.Joseph).",3,2,9,GB,DET,GB,47,07:36,8,0,N,63,0.657711211591959,0.342288788408041,2.30350614734925,SHOTGUN,2x2,7.0,C,12.0,51.28,2.65,False,TRADITIONAL,4.76000022888184,INSIDE_BOX,2.97,2.97000002861023,,False,False,False,0,,,,12,12,-0.044392254203558,0.044392254203558,1.28669833904132,True,,,0,Quarters,Zone
2022100913,2604,"(6:08) (Shotgun) J.Burrow pass short right to S.Perine to BLT 13 for 7 yards (M.Harrison). Penalty on BLT-M.Peters, Illegal Use of Hands, declined.",3,3,6,CIN,BAL,BAL,20,06:08,13,10,N,30,0.541284341365099,0.458715658634901,3.80414963269141,SHOTGUN,3x1,8.0,C,2.0,28.13,40.11,False,TRADITIONAL,3.21000003814697,INSIDE_BOX,3.57,3.5699999332428,,False,False,False,0,,,0.0,7,7,-0.0411983020603657,0.0411983020603657,1.30458728491794,True,,,0,Cover 6-Left,Zone
